ParticipantId,QuestionId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Exam Difficulty,Cognitive Load Level
1,1,234,6956,16559,7763,4398,7267,5379,2022,1579,13.82,1,1
1,1,235,2114,9926,10413,3578,17094,6104,2893,679,26.23,1,1
1,1,236,8828,13321,5622,5285,15056,5127,8425,901,35.16,1,1
1,1,237,14508,10848,1742,1203,4895,4315,1653,1183,35.14,1,1
1,1,238,55884,99124,30255,20709,4361,8161,2478,1042,55.77,1,1
1,1,239,8047,26054,3051,4283,3052,1441,2030,1690,44.11,1,1
1,1,240,15131,10312,8908,4116,8747,7743,2976,1118,25.47,1,2
1,1,241,13489,9217,4098,1254,4797,2191,2841,947,41.64,1,1
1,1,242,2765,15376,8759,2160,4973,5050,8377,1103,47.4,1,1
1,1,243,10026,5089,3657,4715,9825,6609,3875,506,26.7,1,1
1,1,244,7274,9832,7280,4318,8550,4188,2096,979,31.16,1,1
1,1,245,29328,4220,3566,14187,9588,1641,1503,1503,9.57,1,1
1,1,246,1968,7779,4644,3182,10265,5856,2585,1341,31.55,1,1
1,1,247,23547,23496,2510,23507,9062,3818,6224,1522,21.56,1,1
1,1,248,8459,15715,5904,4487,4766,6000,3642,1956,14,1,1
1,1,249,3712,43239,3378,854,6999,2304,2058,1725,18.23,1,1
1,1,250,12994,4762,48,1297,5418,3669,1963,852,36.06,1,1
1,1,251,8268,12939,2865,188,3630,1485,2697,725,40.25,1,1
1,1,252,10238,19824,3823,302,5378,2921,1614,424,35.41,1,2
1,1,253,19225,15543,1038,1852,9893,3252,4275,1035,35.7,1,1
1,1,254,7174,13606,1133,609,4001,3558,2762,699,45.06,1,1
1,1,255,4701,6828,13617,3291,5370,1339,729,816,43.25,1,1
1,1,256,9722,23741,3101,253,3371,5122,2288,696,16.33,1,1
1,1,257,8842,4468,3262,6895,8989,2262,3060,1046,18.23,1,2
1,1,258,2445,9513,231,729,5825,4141,959,1274,40.05,1,1
1,1,259,428938,31980,7748,3458,2027,474,563,154,61.11,1,1
1,1,260,10284,89208,5596,26171,13755,4672,3271,2886,15.19,1,1
1,1,261,9930,6477,2657,7597,5029,2477,4428,1638,13.31,1,1
1,1,262,1911,19575,6592,2773,2556,2582,2637,1869,36.67,1,1
1,1,263,3393,7415,6649,13702,8285,1741,4009,1091,31.06,1,1
1,1,264,10691,32613,3303,6568,6011,3824,5279,1491,26.73,1,1
1,1,265,5378,25995,7753,2386,20589,4489,7889,1140,25.82,1,1
1,1,266,2074,16396,5228,3943,4889,2120,3801,2192,33.48,1,1
1,1,267,6598,3299,4943,2907,8748,1551,2268,572,31.09,1,1
1,1,268,7364,16727,4541,6243,2370,5914,2711,2002,37.61,1,1
1,1,269,7238,42602,1831,2608,6914,3096,1747,2025,35.67,1,2
1,1,270,68232,71483,22175,7094,20368,6351,2609,1383,12.83,1,1
1,1,271,4020,6098,2155,793,6551,3474,2387,1562,22.55,1,1
