ParticipantId,TrialId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Level
1,2,54,6803,16810,5108,2428,8192,3971,2364,1854,12.52,1
1,2,55,2731,18061,8761,8514,6019,2075,1226,908,30.4,1
1,2,56,1284,10655,3879,8827,9158,2907,4770,1791,31.76,1
1,2,57,14152,1251,4098,3721,4675,3660,2163,1421,34.62,1
1,2,58,15903,10599,4158,5361,6518,3074,2443,1627,25.95,1
1,2,59,7875,9474,6139,7024,7289,2184,1980,901,12.51,1
1,2,60,8499,15236,4211,6759,10442,1959,2699,942,26.32,1
1,2,61,12429,7573,2674,8108,2327,2683,2991,1147,19.5,1
1,2,62,27855,10381,14844,11023,1923,3092,711,624,45.44,1
1,2,63,6636,9149,4143,6955,1799,2116,1821,1309,24.06,1
1,2,64,9544,9059,6204,7184,9104,3132,2361,657,24.58,1
1,2,65,9425,14650,6596,5739,12943,4080,1173,2015,31.87,1
1,2,66,5876,5365,2093,5490,3017,1626,3172,958,39.69,1
1,2,67,7668,49403,7234,9529,918,2292,4186,1411,27.15,1
1,2,68,6228,4845,1510,6736,10525,3308,3595,841,36.46,1
1,2,69,12627,2450,6697,4286,5570,3562,1793,1093,42.76,1
1,2,70,5296,18393,7496,6703,6872,6039,1853,1056,50.22,1
1,2,71,27699,12684,11314,4541,10041,2474,1621,1822,28.68,1
1,2,72,16373,13461,2459,7173,12673,2435,2655,1373,42.72,1
1,2,73,9310,1785,18879,2538,4302,4495,3687,1262,32.91,1
1,2,74,6748,12825,7386,5074,8765,7495,1250,1096,16.2,1
1,2,75,7048,28516,4589,4474,5328,5431,4259,1374,23.29,1
1,1,1,15638,16885,2328,12632,5235,2358,683,1761,18.39,2
1,1,2,11987,22769,1353,1858,5927,6314,1564,897,32.06,2
1,1,3,5151,9844,2025,1704,5942,2613,2402,1819,17.74,2
1,1,4,22254,34431,2630,6704,10733,2738,3531,775,25.14,2
1,1,5,3534,9010,1527,3863,3137,5539,7541,1044,46.05,2
1,1,6,3522,25149,13944,943,7653,1823,2780,769,20.47,2
1,1,7,14992,23164,2802,4379,9649,2908,2691,1209,16.64,2
1,1,8,18222,20140,3714,794,8069,5680,1708,775,35.43,2
1,1,9,40944,20742,25456,6224,6015,5833,3609,1210,25.01,2
1,1,10,5054,12691,4578,3588,6259,3254,3029,323,32.63,2
1,1,11,7002,8276,104,2598,9445,4731,2868,2317,23.19,2
1,1,12,10225,8438,6531,4105,4572,2583,2679,1851,20.2,2
1,1,13,52870,12378,12401,8007,3321,1187,3395,951,22.35,2
1,1,14,3444,26295,499,7445,5449,5062,2353,5840,15.88,2
1,1,15,15258,70715,12800,17944,3793,2616,6401,413,39.21,2
1,1,16,42929,7955,13688,6324,4208,2981,3580,824,11.32,2
1,1,17,20515,3441,7644,1303,14386,2748,3227,680,39.25,2
1,1,18,58923,45650,26225,4158,5559,4842,1266,793,23.79,2
1,1,19,59844,36118,3458,8687,4062,4515,2074,1751,31.41,2
1,1,20,5919,11509,5866,4083,8541,3832,1986,1639,17.54,2
1,1,21,4242,10422,1073,2030,9881,2395,1886,1006,26.69,2
1,1,22,3314,6404,2459,5634,2611,5439,6655,810,40.83,2
1,1,23,3658,5662,3482,6981,9810,3250,2927,1486,40.57,2
1,1,24,4635,29492,4486,5643,9181,2424,4497,1295,28.76,2
1,1,25,12865,11570,2216,11588,5607,2395,2327,1516,17.17,2
1,1,26,4183,13543,7887,5883,9830,5543,5347,1381,29.85,2
1,1,27,9524,12866,9595,731,6874,5640,3875,906,17.72,2
1,1,28,4537,18185,2417,2811,5051,3333,1639,1887,36.41,2
1,1,29,9957,19326,6839,2901,4896,4702,2980,957,32.29,2
1,1,30,58495,56323,9492,8774,7921,2646,4538,1654,35.54,2
1,1,31,12867,13631,2119,14927,8518,1603,1925,1570,21.92,2
1,1,32,63852,64503,10734,5116,8503,3440,3968,1624,32.11,2
1,1,33,6532,6826,454,4888,14407,2017,2229,529,19.17,2
1,1,34,13920,14481,8319,790,5980,2328,1315,1219,30.76,2
1,1,35,21866,23830,3912,4121,7352,4052,1408,495,22.5,2
1,1,36,18729,22830,6474,4345,7061,3016,1914,2148,23.22,2
1,1,37,16370,18203,9006,1635,4657,4189,2242,1468,35.77,2
1,1,38,5725,7838,1903,4842,6321,2226,4552,492,5.39,2
1,1,39,5627,20867,8716,13922,7755,1216,1750,2330,26.31,2
1,1,40,24937,22183,14519,3853,15520,2451,3993,1317,19.27,2
1,1,41,7877,6500,11333,3146,11224,2331,5024,464,22.65,2
1,1,42,25639,21313,8395,14545,8155,1335,2385,889,32.19,2
1,1,43,2829,3933,494,4728,15433,2936,1791,1432,16.7,2
1,1,44,19894,18994,9184,3144,5428,2292,1149,1493,6.23,2
1,1,45,12324,20372,9054,1484,3865,2983,2018,1306,31.11,2
1,1,46,25725,25616,13341,6312,3895,5854,3887,920,37.61,2
1,1,47,63003,21709,3317,9474,4354,4831,1901,911,39.13,2
1,1,48,10227,45472,5920,7304,7227,1659,1183,1372,32.58,2
1,1,49,13032,5091,7877,7572,5143,1290,3196,852,24.27,2
1,1,50,2958,9194,3325,4808,8701,4464,2533,1186,19.03,2
1,1,51,17355,14288,8036,7312,11604,4679,3570,878,20.85,2
1,1,52,6399,13422,9617,12862,5913,4284,1329,619,23.62,2
1,1,53,10357,9269,4647,3524,8277,4256,2224,493,36.81,2
1,1,54,19705,144329,12940,4504,5924,3215,1794,2269,30.88,2
1,1,55,8052,5285,15983,4449,13390,4682,1211,1560,18.47,2
1,1,56,4244,11183,4271,1569,3033,847,5988,1579,25.93,2
1,1,57,7818,18204,3798,2219,3300,1920,6975,1141,27.93,2
